train_p,test_p,seed,failure_prob,n_episodes,mean_return,std_return,success_rate,crash_rate,mean_time_to_failure,mean_pre_fault_return,mean_post_fault_return
0.0,0.0,0,0.0,100,151.48810459393633,114.99417908104098,0.49,0.0,645.16,151.48810459393633,0.0
0.0,0.05,0,0.05,100,132.4585816322336,121.33932787332795,0.43,0.0,631.92,133.8680509189232,-1.4094692866895984
0.0,0.1,0,0.1,100,115.12087503954763,127.52999169714246,0.39,0.02,634.33,121.52642623616846,-6.405551196620844
0.0,0.15,0,0.15,100,128.74460111293251,126.57470116149513,0.43,0.02,589.05,134.2693880633647,-5.524786950432166
0.0,0.2,0,0.2,100,112.58345447078052,130.63244732823765,0.41,0.02,562.3,122.41451108107631,-9.83105661029578
0.0,0.25,0,0.25,100,116.54063996613493,125.6842242379146,0.41,0.01,584.7,123.78939847347277,-7.248758507337869
0.0,0.0,42,0.0,100,205.74363473130717,85.40656644512319,0.72,0.0,545.41,205.74363473130717,0.0
0.0,0.05,42,0.05,100,208.98906292318762,96.53113544591758,0.77,0.01,477.03,213.01329607707427,-4.024233153886654
0.0,0.1,42,0.1,100,176.9565300813891,110.5122202229325,0.63,0.02,521.63,180.5621702685188,-3.605640187129654
0.0,0.15,42,0.15,100,191.9438363445446,108.65724346431274,0.71,0.02,424.81,192.9874927322495,-1.0436563877049378
0.0,0.2,42,0.2,100,181.44160458855742,132.5978620075309,0.71,0.06,390.55,189.68252860129374,-8.240924012736345
0.0,0.25,42,0.25,100,185.07776343687598,127.54036091216331,0.72,0.06,381.28,189.62243618793272,-4.544672751056724
0.0,0.0,1729,0.0,100,143.3016833621316,91.70229410152213,0.37,0.0,623.29,143.3016833621316,0.0
0.0,0.05,1729,0.05,100,135.9986551320793,99.0734394713431,0.42,0.0,600.06,138.17494590808806,-2.176290776008753
0.0,0.1,1729,0.1,100,102.05480776257005,100.40445902634416,0.28,0.01,659.59,108.81360288037584,-6.758795117805784
0.0,0.15,1729,0.15,100,105.42440433439234,118.97241743041646,0.33,0.05,548.56,118.33051988612534,-12.906115551733015
0.0,0.2,1729,0.2,100,104.14920689555387,108.7912922581831,0.31,0.01,529.62,111.58197757526061,-7.432770679706757
0.0,0.25,1729,0.25,100,93.26448811464053,112.67212378822721,0.27,0.04,490.99,109.20044730973186,-15.935959195091389
0.0,0.0,6174,0.0,100,215.29986175268766,75.12896310117414,0.7,0.0,415.56,215.29986175268766,0.0
0.0,0.05,6174,0.05,100,204.83350973861397,78.42065040198685,0.65,0.0,416.65,205.45455831988968,-0.6210485812757491
0.0,0.1,6174,0.1,100,217.7507065247992,77.11001745264448,0.76,0.01,336.28,218.76763854867554,-1.0169320238763577
0.0,0.15,6174,0.15,100,196.25210692068396,103.22555678148244,0.69,0.03,348.62,203.05508688422185,-6.802979963537946
0.0,0.2,6174,0.2,100,207.04347147316435,91.09575957136937,0.73,0.0,308.01,208.4045223219418,-1.3610508487774187
0.0,0.25,6174,0.25,100,179.63029536821927,112.49824727905425,0.59,0.03,304.57,192.13155645901182,-12.501261090792596
0.0,0.0,196,0.0,100,141.0094801590493,86.33915157636336,0.27,0.01,713.3,141.0094801590493,0.0
0.0,0.05,196,0.05,100,133.81564310529677,92.01257143230107,0.19,0.01,722.68,139.31256828009884,-5.496925174802075
0.0,0.1,196,0.1,100,157.4167547094476,90.941347014838,0.38,0.01,606.18,161.2696386299451,-3.8528839204975167
0.0,0.15,196,0.15,100,122.69674186078655,110.09070927582576,0.25,0.02,672.02,138.14851878623747,-15.451776925450975
0.0,0.2,196,0.2,100,125.36547524587222,123.09644158361597,0.34,0.04,602.61,142.4762824824441,-17.110807236571894
0.0,0.25,196,0.25,100,102.0236254901065,123.80693570166699,0.23,0.05,532.0,119.30132187255133,-17.277696382444837
