train_p,test_p,seed,failure_prob,n_episodes,mean_return,std_return,success_rate,crash_rate
0.1,0.15,1729,0.15,100,156.58419162878008,140.92926221872952,0.47,0.09
0.1,0.2,1729,0.2,100,128.3342519004106,138.95423724136404,0.36,0.09
0.1,0.25,1729,0.25,100,143.56468688887458,131.52856718433213,0.44,0.08
0.1,0.0,6174,0.0,100,124.51832054768627,93.79010065310202,0.27,0.0
0.1,0.05,6174,0.05,100,124.55359108260147,94.282168387869,0.26,0.0
0.1,0.1,6174,0.1,100,111.82425527955893,99.30246216077474,0.18,0.02
0.1,0.15,6174,0.15,100,96.26641484582669,128.31942575400024,0.17,0.05
0.1,0.2,6174,0.2,100,77.83738569313175,139.07732234432632,0.21,0.06
0.1,0.25,6174,0.25,100,75.37988629810818,134.60343740782872,0.2,0.07
0.1,0.0,196,0.0,100,154.742123777197,63.941788541779296,0.26,0.0
0.1,0.05,196,0.05,100,145.86023715395044,77.86575854906124,0.18,0.02
0.1,0.1,196,0.1,100,136.83988159643997,104.38567826082567,0.3,0.05
0.1,0.15,196,0.15,100,131.55049882321512,115.25106477675342,0.18,0.03
0.1,0.2,196,0.2,100,122.21504653072385,124.03560311875063,0.18,0.04
0.1,0.25,196,0.25,100,113.54943070243039,138.35973197172112,0.21,0.09
0.15,0.0,0,0.0,100,143.5097393475172,95.42334806407757,0.37,0.0
0.15,0.05,0,0.05,100,141.8515860466926,97.06787998783513,0.39,0.0
0.15,0.1,0,0.1,100,123.10680528624788,98.4956515239966,0.27,0.03
0.15,0.15,0,0.15,100,107.49458366227469,119.9445065994183,0.29,0.07
0.15,0.2,0,0.2,100,113.57106177497421,115.99518203117447,0.31,0.05
0.15,0.25,0,0.25,100,111.001899956584,114.60110061449367,0.22,0.07
0.15,0.0,42,0.0,100,130.72126359117712,91.19535992233929,0.3,0.02
0.15,0.05,42,0.05,100,122.14203293052468,101.21074609732133,0.29,0.02
0.15,0.1,42,0.1,100,109.27948838792355,107.87925275255114,0.21,0.05
0.15,0.15,42,0.15,100,99.88093018917185,110.32252904706175,0.18,0.07
0.15,0.2,42,0.2,100,81.29081361710213,128.79505473499586,0.22,0.11
0.15,0.25,42,0.25,100,66.51665555406534,132.12902163025575,0.15,0.13
0.15,0.0,1729,0.0,100,142.49671834173753,85.75054857748381,0.33,0.0
0.15,0.05,1729,0.05,100,132.26381731671833,101.62423773065443,0.33,0.02
0.15,0.1,1729,0.1,100,135.50369600721385,115.9259944179467,0.37,0.03
0.15,0.15,1729,0.15,100,112.4968013879011,128.60599923302362,0.26,0.04
0.15,0.2,1729,0.2,100,79.34319837747506,156.01483486995983,0.26,0.11
0.15,0.25,1729,0.25,100,98.38142083663905,131.5506983661996,0.33,0.08
0.15,0.0,6174,0.0,100,192.53208507954557,59.604353859194035,0.5,0.0
0.15,0.05,6174,0.05,100,189.51145825290862,66.12151772477513,0.51,0.0
0.15,0.1,6174,0.1,100,181.18743838918553,63.672341371086155,0.44,0.0
0.15,0.15,6174,0.15,100,164.63740855872308,102.15098710081281,0.42,0.04
0.15,0.2,6174,0.2,100,154.04937082065624,133.2565971962922,0.48,0.06
0.15,0.25,6174,0.25,100,136.74735447787418,131.6706156455783,0.47,0.07
0.15,0.0,196,0.0,100,79.71077821776676,96.59449619801957,0.13,0.01
0.15,0.05,196,0.05,100,79.32516489628938,100.54478546838921,0.1,0.03
0.15,0.1,196,0.1,100,70.49784642636033,126.5208057746912,0.09,0.08
0.15,0.15,196,0.15,100,51.26246781519355,132.58075132675492,0.1,0.05
0.15,0.2,196,0.2,100,44.09773570009625,139.39861430238798,0.11,0.05
0.15,0.25,196,0.25,100,39.93585491655114,127.02019326348604,0.07,0.12
0.2,0.0,0,0.0,100,98.07485222186543,97.40330878365211,0.23,0.0
0.2,0.05,0,0.05,100,102.36918549336566,104.51362198256491,0.29,0.0
0.2,0.1,0,0.1,100,65.58625654569443,113.58403381913324,0.23,0.03
0.2,0.15,0,0.15,100,82.26219645766741,112.74366052862989,0.27,0.02
0.2,0.2,0,0.2,100,67.71228372018211,136.23270583428567,0.26,0.07
0.2,0.25,0,0.25,100,67.72755587901109,126.49433052000029,0.27,0.06
0.2,0.0,42,0.0,100,-13.134195992403608,36.49520530512167,0.0,0.01
0.2,0.05,42,0.05,100,-25.998638634201352,60.384481219609995,0.0,0.1
0.2,0.1,42,0.1,100,-20.76666565669726,77.73976997035973,0.0,0.07
0.2,0.15,42,0.15,100,-14.169939878790647,83.36895860056934,0.01,0.07
0.2,0.2,42,0.2,100,-33.69116358708989,90.33365621266603,0.0,0.09
0.2,0.25,42,0.25,100,-47.525661094305704,106.91115799659782,0.0,0.15
0.2,0.0,1729,0.0,100,80.20064663462153,65.67690304378607,0.01,0.01
0.2,0.05,1729,0.05,100,67.40075923902482,98.30647469400081,0.0,0.06
