train_p,test_p,seed,failure_prob,n_episodes,mean_return,std_return,success_rate,crash_rate
0.05,0.2,0,0.2,100,227.92291088839448,68.07084293699772,0.83,0.0
0.05,0.25,0,0.25,100,229.2229724461514,72.87825926268142,0.82,0.0
0.05,0.0,42,0.0,100,251.67724186243066,37.02248452717033,0.95,0.0
0.05,0.05,42,0.05,100,239.9385316999637,59.1201648041364,0.87,0.0
0.05,0.1,42,0.1,100,222.52609859725627,74.47459982750267,0.79,0.0
0.05,0.15,42,0.15,100,231.20088554631877,62.839034475249996,0.83,0.0
0.05,0.2,42,0.2,100,223.0770002723305,77.00516250435997,0.79,0.0
0.05,0.25,42,0.25,100,230.06472735662032,69.0103522903707,0.81,0.0
0.05,0.0,1729,0.0,100,247.4488775646192,52.81876391804076,0.93,0.0
0.05,0.05,1729,0.05,100,248.5994643555654,45.158039066792945,0.93,0.0
0.05,0.1,1729,0.1,100,245.13954047390018,58.78850154200382,0.92,0.0
0.05,0.15,1729,0.15,100,244.5596917774563,49.30957853378334,0.9,0.0
0.05,0.2,1729,0.2,100,245.79797542082852,53.61118430176913,0.92,0.0
0.05,0.25,1729,0.25,100,225.25886716495424,72.95754256472563,0.82,0.0
0.05,0.0,6174,0.0,100,243.81282618371083,50.462981192323205,0.93,0.0
0.05,0.05,6174,0.05,100,241.81282618371083,54.156273867907814,0.92,0.0
0.05,0.1,6174,0.1,100,243.8796489327251,47.63632420247709,0.89,0.0
0.05,0.15,6174,0.15,100,242.64086226775854,51.724029406784716,0.89,0.0
0.05,0.2,6174,0.2,100,234.42240653917415,74.19779063776025,0.83,0.01
0.05,0.25,6174,0.25,100,231.99608122741162,56.71511027266085,0.84,0.0
0.05,0.0,196,0.0,100,255.6292549362419,40.178317970483036,0.92,0.0
0.05,0.05,196,0.05,100,253.9080579225914,42.10184437112666,0.9,0.0
0.05,0.1,196,0.1,100,247.22337347187667,45.755696991956576,0.89,0.0
0.05,0.15,196,0.15,100,245.4229437957492,54.989794748469784,0.87,0.0
0.05,0.2,196,0.2,100,235.19580054874012,75.88790205496795,0.86,0.01
0.05,0.25,196,0.25,100,236.54631075055394,62.00202995862792,0.83,0.0
0.1,0.0,0,0.0,100,234.04906589657588,47.829129046156055,0.91,0.0
0.1,0.05,0,0.05,100,231.8476476478166,48.6030339859084,0.88,0.0
0.1,0.1,0,0.1,100,228.31696811915089,53.902448663367515,0.82,0.0
0.1,0.15,0,0.15,100,237.74362173205387,43.06719695999959,0.91,0.0
0.1,0.2,0,0.2,100,230.05268538879488,57.35432232553433,0.85,0.0
0.1,0.25,0,0.25,100,223.2471786632387,62.624372020401886,0.79,0.0
0.1,0.0,42,0.0,100,216.48049288403377,67.6891927275929,0.85,0.0
0.1,0.05,42,0.05,100,212.72762998760447,73.78015377763846,0.84,0.0
0.1,0.1,42,0.1,100,189.77767546993707,98.34180120992474,0.74,0.0
0.1,0.15,42,0.15,100,204.486815341427,81.32813776638703,0.81,0.0
0.1,0.2,42,0.2,100,212.69061700398038,80.04867922705608,0.82,0.0
0.1,0.25,42,0.25,100,191.1366428116435,91.37559915433056,0.73,0.0
0.1,0.0,1729,0.0,100,258.4530143610527,36.75184328624333,0.96,0.0
0.1,0.05,1729,0.05,100,256.95499005877997,46.09240216221938,0.95,0.0
0.1,0.1,1729,0.1,100,256.7508492236564,45.871816258329254,0.94,0.0
0.1,0.15,1729,0.15,100,251.91787738392966,54.169402766577086,0.93,0.0
0.1,0.2,1729,0.2,100,242.69458187113972,64.90462714774627,0.9,0.0
0.1,0.25,1729,0.25,100,242.5314751946381,66.35731865298705,0.86,0.0
0.1,0.0,6174,0.0,100,251.59461184404054,35.52854645484392,0.97,0.0
0.1,0.05,6174,0.05,100,247.59461184404054,44.01222175958024,0.95,0.0
0.1,0.1,6174,0.1,100,243.4564835855143,48.900408368146756,0.93,0.0
0.1,0.15,6174,0.15,100,242.6208052569401,44.27241601435179,0.91,0.0
0.1,0.2,6174,0.2,100,229.2572199383697,60.77227616149025,0.81,0.0
0.1,0.25,6174,0.25,100,230.27513208559543,63.95948915341237,0.84,0.0
0.1,0.0,196,0.0,100,257.2115315542113,31.693434501290888,0.94,0.0
0.1,0.05,196,0.05,100,258.5599080024742,30.51214606601299,0.95,0.0
0.1,0.1,196,0.1,100,251.61774652186355,37.9779779721605,0.9,0.0
0.1,0.15,196,0.15,100,247.49742428317342,59.890236935116654,0.89,0.0
0.1,0.2,196,0.2,100,255.92504730683308,41.447053809778204,0.91,0.0
0.1,0.25,196,0.25,100,249.2949972730876,52.69258250857567,0.89,0.0
0.15,0.0,0,0.0,100,227.07522407192218,39.39674452896246,0.87,0.0
0.15,0.05,0,0.05,100,218.64137665884175,60.76584968476696,0.8,0.0
0.15,0.1,0,0.1,100,220.58019214459154,64.44121779811114,0.85,0.0
0.15,0.15,0,0.15,100,221.634323801877,60.16818950947053,0.86,0.0
0.15,0.2,0,0.2,100,221.23107137864022,53.120952318806836,0.84,0.0
0.15,0.25,0,0.25,100,226.5621660423251,54.87350704673387,0.84,0.0
0.15,0.0,42,0.0,100,208.03095334908747,83.39353472527608,0.81,0.0
0.15,0.05,42,0.05,100,205.67586193368905,83.2408008668564,0.73,0.0
0.15,0.1,42,0.1,100,217.69331921679517,73.0085615849606,0.82,0.0
0.15,0.15,42,0.15,100,215.08956424646308,77.68401262818864,0.84,0.0
0.15,0.2,42,0.2,100,203.35100513621194,87.89270623161558,0.75,0.01
0.15,0.25,42,0.25,100,197.12490123209554,95.30422870572332,0.74,0.01
0.15,0.0,1729,0.0,100,234.58120336452342,47.77389106642888,0.89,0.0
0.15,0.05,1729,0.05,100,238.46436604348918,42.28307537525393,0.92,0.0
0.15,0.1,1729,0.1,100,227.03156942536728,62.51195748355309,0.84,0.0
0.15,0.15,1729,0.15,100,241.3048258891492,41.333368930877675,0.88,0.0
0.15,0.2,1729,0.2,100,231.09161241730337,61.542978008608515,0.86,0.0
0.15,0.25,1729,0.25,100,238.01665313497472,55.57928662670484,0.88,0.0
0.15,0.0,6174,0.0,100,230.80003968723264,56.968259982761985,0.91,0.0
0.15,0.05,6174,0.05,100,226.80003968723264,61.62543021200911,0.89,0.0
0.15,0.1,6174,0.1,100,229.49238351296654,56.72902796881313,0.87,0.0
0.15,0.15,6174,0.15,100,228.2749268320619,55.03289656667184,0.86,0.0
0.15,0.2,6174,0.2,100,214.61519123840884,72.80537183202048,0.8,0.0
0.15,0.25,6174,0.25,100,218.5504703822387,73.53240766894936,0.83,0.0
0.15,0.0,196,0.0,100,209.72529752587437,90.70893237061487,0.8,0.0
0.15,0.05,196,0.05,100,197.67917407188332,92.32738785825369,0.73,0.0
0.15,0.1,196,0.1,100,221.6621607214424,70.43185480828441,0.83,0.0
0.15,0.15,196,0.15,100,198.57690096805243,92.1178972607286,0.74,0.0
0.15,0.2,196,0.2,100,221.91508061653607,73.92621674524514,0.82,0.0
0.15,0.25,196,0.25,100,205.7253141674862,79.66139091859591,0.75,0.0
0.2,0.0,0,0.0,100,241.24111460165165,40.63899883477261,0.94,0.0
0.2,0.05,0,0.05,100,234.45415381911124,49.62368030056355,0.9,0.0
0.2,0.1,0,0.1,100,237.44052064553125,46.467985981214085,0.94,0.0
0.2,0.15,0,0.15,100,237.95678635521094,49.55569668682408,0.91,0.0
0.2,0.2,0,0.2,100,226.45082657237128,63.28478960956937,0.85,0.0
0.2,0.25,0,0.25,100,230.58007948249738,58.77643053977007,0.85,0.0
0.2,0.0,42,0.0,100,235.49557197630864,45.151991386648234,0.88,0.0
0.2,0.05,42,0.05,100,233.46305811553972,52.4156710017454,0.9,0.0
0.2,0.1,42,0.1,100,227.1069472871389,63.863774455144636,0.87,0.0
0.2,0.15,42,0.15,100,224.67251852880563,63.99560771428984,0.84,0.0
0.2,0.2,42,0.2,100,226.8413201608537,58.50143159516283,0.81,0.0
0.2,0.25,42,0.25,100,229.67487621980487,56.0196941304395,0.88,0.0
0.2,0.0,1729,0.0,100,225.89685940340303,50.666836771052914,0.92,0.0
0.2,0.05,1729,0.05,100,210.84160093795666,76.7263366600272,0.84,0.0
0.2,0.1,1729,0.1,100,218.28783208730363,69.51607685433655,0.88,0.0
0.2,0.15,1729,0.15,100,226.88853898920644,58.600725038418766,0.89,0.0
0.2,0.2,1729,0.2,100,209.0224408943992,79.67101236965067,0.81,0.0
0.2,0.25,1729,0.25,100,226.46909859545724,58.5912246922406,0.88,0.0
0.2,0.0,6174,0.0,100,231.87841839476698,63.590633775850804,0.89,0.0
0.2,0.05,6174,0.05,100,227.87841839476698,68.88541610806644,0.87,0.0
0.2,0.1,6174,0.1,100,232.9852416256552,58.66068502660773,0.87,0.0
0.2,0.15,6174,0.15,100,230.75040035495434,64.90416997304065,0.85,0.0
0.2,0.2,6174,0.2,100,225.40238774800855,66.34619855822612,0.81,0.0
0.2,0.25,6174,0.25,100,206.34429892022538,84.84314200540838,0.72,0.01
0.2,0.0,196,0.0,100,252.08123630745544,27.532403086681196,0.96,0.0
0.2,0.05,196,0.05,100,246.8329317300379,41.841202510828886,0.92,0.0
0.2,0.1,196,0.1,100,246.13642470224207,46.8001443985087,0.92,0.0
